"Country or Area","Year","Value","Value Footnotes","Unit"
"Algeria","2007","325100","","tonnes"
"Algeria","2003","325000","","tonnes"
"Algeria","1997","185000","","tonnes"
"Algeria","1995","185000","","tonnes"
"Armenia","2012","62402","1","tonnes"
"Armenia","2011","67396","1","tonnes"
"Armenia","2010","48298","1","tonnes"
"Armenia","2009","467524","1","tonnes"
"Armenia","2008","430554","1","tonnes"
"Armenia","2007","440871","1","tonnes"
"Armenia","2006","343393","1","tonnes"
"Armenia","2005","330909","1","tonnes"
"Armenia","2004","544701","1","tonnes"
"Armenia","2003","420384","1","tonnes"
"Armenia","2002","1205","2","tonnes"
"Armenia","2001","1551","2","tonnes"
"Armenia","2000","1967","2","tonnes"
"Armenia","1999","912","2","tonnes"
"Austria","2014","1272288","","tonnes"
"Austria","2012","1065888","","tonnes"
"Austria","2010","1472864","","tonnes"
"Austria","2008","1329984","","tonnes"
"Austria","2006","961899","","tonnes"
"Austria","2004","1013727","","tonnes"
"Azerbaijan","2012","296979","","tonnes"
"Azerbaijan","2011","185676","","tonnes"
"Azerbaijan","2010","139971","","tonnes"
"Azerbaijan","2009","131839","","tonnes"
"Azerbaijan","2008","24276","","tonnes"
"Azerbaijan","2007","10471","","tonnes"
"Azerbaijan","2006","29573","","tonnes"
"Azerbaijan","2005","12831","","tonnes"
"Azerbaijan","2004","11183","","tonnes"
"Azerbaijan","2003","26861","","tonnes"
"Azerbaijan","2002","9777","","tonnes"
"Azerbaijan","2001","16437","","tonnes"
"Azerbaijan","2000","26556","","tonnes"
"Azerbaijan","1999","13030","","tonnes"
"Azerbaijan","1998","33922","","tonnes"
"Azerbaijan","1997","36097","","tonnes"
"Azerbaijan","1996","18024","","tonnes"
"Azerbaijan","1995","26998","","tonnes"
"Bahrain","2007","35008","3","tonnes"
"Bahrain","2006","38740","3","tonnes"
"Bahrain","2005","38202","3","tonnes"
"Bahrain","2004","33005","3","tonnes"
"Bahrain","2003","33616","3","tonnes"
"Bahrain","2002","140000","3","tonnes"
"Bahrain","2001","140000","3","tonnes"
"Bahrain","2000","140000","3","tonnes"
"Bahrain","1999","140000","3","tonnes"
"Bahrain","1998","140000","3","tonnes"
"Bahrain","1997","140000","3","tonnes"
"Bahrain","1996","138870","3","tonnes"
"Bahrain","1995","136000","3","tonnes"
"Bangladesh","2005","75920","4","tonnes"
"Bangladesh","2004","73985","4","tonnes"
"Belarus","2010","1336926","","tonnes"
"Belarus","2009","943326","","tonnes"
"Belarus","2008","919207","","tonnes"
"Belarus","2007","322477","","tonnes"
"Belarus","2006","238833","","tonnes"
"Belarus","2005","192036","","tonnes"
"Belarus","2004","154166","","tonnes"
"Belarus","2003","123915","","tonnes"
"Belarus","2002","116854","","tonnes"
"Belarus","2001","99110","","tonnes"
"Belarus","2000","73043","","tonnes"
"Belarus","1995","90300","","tonnes"
"Belgium","2014","2946195","","tonnes"
"Belgium","2012","4257755","","tonnes"
"Belgium","2010","4478949","","tonnes"
"Belgium","2008","5918821","","tonnes"
